Feature,Importance
rst_count,0.07973444121010054
urg_count,0.054057979992880735
IAT,0.04330348712985537
Variance,0.034133567067063386
Number,0.033435332529005435
Weight,0.03220625052379797
Magnitue,0.02772998771662109
Header_Length,0.022528273847678044
flow_duration,0.022160285216249246
AVG,0.020206904097643762
Radius,0.01753388544156504
Tot size,0.016397455860695614
Max,0.015788102045667635
Std,0.01487864401118418
ack_flag_number,0.010802376648937748
Duration,0.008053252693342366
Protocol Type,0.006764096016787361
Covariance,0.006355092853155541
HTTPS,0.005601741216175754
Tot sum,0.005413497692651093
syn_flag_number,0.005303030362519568
Srate,0.003606144339186081
Rate,0.003191830313994757
fin_count,0.0031829311171955436
Min,0.003096068539689588
ICMP,0.001843764455579289
rst_flag_number,0.0015710076352789199
TCP,0.001296482718621364
syn_count,0.0011072871007377937
HTTP,0.0008809432587324623
UDP,0.000776430362909799
ack_count,0.000671199942555793
psh_flag_number,0.0005750283731540264
fin_flag_number,0.00041680773080959166
LLC,3.573689196021584e-05
IPv,2.1767886050669992e-05
ARP,2.130062151187019e-05
DNS,1.7402902526025256e-05
SSH,7.55888471200353e-06
cwr_flag_number,0.0
Drate,0.0
ece_flag_number,0.0
DHCP,0.0
Telnet,0.0
SMTP,0.0
IRC,0.0
